Policy Number,Transaction Date,Transaction Type,Amount,Remarks
LX-4471902,03/19/2021,Acquisition Cost,812000,Policy purchase
LX-4471902,03/01/2022,Premium Payment,62000,Annual premium
LX-4471902,03/01/2023,Premium Payment,62000,Annual premium
LX-4471902,03/01/2024,Premium Payment,62000,Annual premium
LX-4471902,03/01/2025,Premium Payment,62000,Annual premium
LX-4471902,03/01/2026,Premium Payment,62000,Annual premium
LX-4471902,03/15/2024,Servicing,1250,Annual servicing fee
JH-2298317,07/22/2019,Acquisition Cost,405000,Policy purchase
JH-2298317,07/01/2020,Premium Payment,41500,Annual premium
JH-2298317,07/01/2021,Premium Payment,41500,Annual premium
JH-2298317,07/01/2022,Premium Payment,41500,Annual premium
JH-2298317,07/01/2023,Premium Payment,41500,Annual premium
JH-2298317,07/01/2024,Premium Payment,41500,Annual premium
JH-2298317,07/01/2025,Premium Payment,41500,Annual premium
JH-2298317,07/01/2026,Premium Payment,41500,Annual premium
JH-2298317,07/15/2024,Servicing,1250,Annual servicing fee
MM-7710455,01/14/2020,Acquisition Cost,2210000,Policy purchase
MM-7710455,01/01/2021,Premium Payment,148000,Annual premium
MM-7710455,01/01/2022,Premium Payment,148000,Annual premium
MM-7710455,01/01/2023,Premium Payment,148000,Annual premium
MM-7710455,01/01/2024,Premium Payment,148000,Annual premium
MM-7710455,01/01/2025,Premium Payment,148000,Annual premium
MM-7710455,01/01/2026,Premium Payment,148000,Annual premium
MM-7710455,01/15/2024,Servicing,1250,Annual servicing fee
AX-5560218,05/03/2022,Acquisition Cost,488000,Policy purchase
AX-5560218,05/01/2023,Premium Payment,55000,Annual premium
AX-5560218,05/01/2024,Premium Payment,55000,Annual premium
AX-5560218,05/01/2025,Premium Payment,55000,Annual premium
AX-5560218,05/01/2026,Premium Payment,55000,Annual premium
AX-5560218,05/15/2024,Servicing,1250,Annual servicing fee
GW-1029384,03/19/2021,Acquisition Cost,250300,Policy purchase
GW-1029384,03/01/2022,Premium Payment,10000,Annual premium
GW-1029384,03/01/2023,Premium Payment,10000,Annual premium
GW-1029384,03/01/2024,Premium Payment,10000,Annual premium
GW-1029384,03/01/2025,Premium Payment,10000,Annual premium
GW-1029384,03/01/2026,Premium Payment,10000,Annual premium
GW-1029384,03/15/2024,Servicing,1250,Annual servicing fee
BH-8834120,11/09/2018,Acquisition Cost,940000,Policy purchase
BH-8834120,11/01/2019,Premium Payment,96000,Annual premium
BH-8834120,11/01/2020,Premium Payment,96000,Annual premium
BH-8834120,11/01/2021,Premium Payment,96000,Annual premium
BH-8834120,11/01/2022,Premium Payment,96000,Annual premium
BH-8834120,11/01/2023,Premium Payment,96000,Annual premium
BH-8834120,11/01/2024,Premium Payment,96000,Annual premium
BH-8834120,11/01/2025,Premium Payment,96000,Annual premium
BH-8834120,11/01/2026,Premium Payment,96000,Annual premium
BH-8834120,11/15/2024,Servicing,1250,Annual servicing fee
PL-3390871,02/28/2021,Acquisition Cost,331000,Policy purchase
PL-3390871,02/01/2022,Premium Payment,70100,Annual premium
PL-3390871,02/01/2023,Premium Payment,70100,Annual premium
PL-3390871,02/01/2024,Premium Payment,70100,Annual premium
PL-3390871,02/01/2025,Premium Payment,70100,Annual premium
PL-3390871,02/01/2026,Premium Payment,70100,Annual premium
PL-3390871,02/15/2024,Servicing,1250,Annual servicing fee
PR-6612093,06/01/2023,Acquisition Cost,402500,Policy purchase
PR-6612093,06/01/2024,Premium Payment,38400,Annual premium
PR-6612093,06/01/2025,Premium Payment,38400,Annual premium
PR-6612093,06/01/2026,Premium Payment,38400,Annual premium
PR-6612093,06/15/2024,Servicing,1250,Annual servicing fee
HL-9982017,09/12/2017,Acquisition Cost,198000,Policy purchase
HL-9982017,09/01/2018,Premium Payment,13920,Annual premium
HL-9982017,09/01/2019,Premium Payment,13920,Annual premium
HL-9982017,09/01/2020,Premium Payment,13920,Annual premium
HL-9982017,09/01/2021,Premium Payment,13920,Annual premium
HL-9982017,09/01/2022,Premium Payment,13920,Annual premium
HL-9982017,09/01/2023,Premium Payment,13920,Annual premium
HL-9982017,09/01/2024,Premium Payment,13920,Annual premium
HL-9982017,09/01/2025,Premium Payment,13920,Annual premium
HL-9982017,09/01/2026,Premium Payment,13920,Annual premium
HL-9982017,09/15/2024,Servicing,1250,Annual servicing fee
CB-4408822,04/18/2016,Acquisition Cost,121000,Policy purchase
CB-4408822,04/01/2017,Premium Payment,21400,Annual premium
CB-4408822,04/01/2018,Premium Payment,21400,Annual premium
CB-4408822,04/01/2019,Premium Payment,21400,Annual premium
CB-4408822,04/01/2020,Premium Payment,21400,Annual premium
CB-4408822,04/01/2021,Premium Payment,21400,Annual premium
CB-4408822,04/01/2022,Premium Payment,21400,Annual premium
CB-4408822,04/01/2023,Premium Payment,21400,Annual premium
CB-4408822,04/01/2024,Premium Payment,21400,Annual premium
CB-4408822,04/01/2025,Premium Payment,21400,Annual premium
CB-4408822,04/01/2026,Premium Payment,21400,Annual premium
CB-4408822,04/15/2024,Servicing,1250,Annual servicing fee
WC-2201773,08/30/2019,Acquisition Cost,214000,Policy purchase
WC-2201773,08/01/2020,Premium Payment,15000,Annual premium
WC-2201773,08/01/2021,Premium Payment,15000,Annual premium
WC-2201773,08/01/2022,Premium Payment,15000,Annual premium
WC-2201773,08/01/2023,Premium Payment,15000,Annual premium
WC-2201773,08/01/2024,Premium Payment,15000,Annual premium
WC-2201773,08/01/2025,Premium Payment,15000,Annual premium
WC-2201773,08/01/2026,Premium Payment,15000,Annual premium
WC-2201773,08/15/2024,Servicing,1250,Annual servicing fee
AO-7745510,10/07/2021,Acquisition Cost,143000,Policy purchase
AO-7745510,10/01/2022,Premium Payment,18600,Annual premium
AO-7745510,10/01/2023,Premium Payment,18600,Annual premium
AO-7745510,10/01/2024,Premium Payment,18600,Annual premium
AO-7745510,10/01/2025,Premium Payment,18600,Annual premium
AO-7745510,10/01/2026,Premium Payment,18600,Annual premium
AO-7745510,10/15/2024,Servicing,1250,Annual servicing fee
