Policy Number,As Of Date,AV,CSV,COI,Death Benefit,Date Of Last Withdrawal
LX-4471902,2025-03-01,28600.00,28600.00,1400.00,5000000,
LX-4471902,2025-04-01,27183.20,27183.20,1416.80,5000000,
LX-4471902,2025-05-01,25749.60,25749.60,1433.60,5000000,
LX-4471902,2025-06-01,24299.20,24299.20,1450.40,5000000,
LX-4471902,2025-07-01,22832.00,22832.00,1467.20,5000000,
LX-4471902,2025-08-01,83348.00,83348.00,1484.00,5000000,
LX-4471902,2025-09-01,81847.20,81847.20,1500.80,5000000,
LX-4471902,2025-10-01,80329.60,80329.60,1517.60,5000000,
LX-4471902,2025-11-01,78795.20,78795.20,1534.40,5000000,
LX-4471902,2025-12-01,77244.00,77244.00,1551.20,5000000,
LX-4471902,2026-01-01,75676.00,75676.00,1568.00,5000000,
LX-4471902,2026-02-01,74091.20,74091.20,1584.80,5000000,
LX-4471902,2026-03-01,72489.60,72489.60,1601.60,5000000,
LX-4471902,2026-04-01,70871.20,70871.20,1618.40,5000000,
LX-4471902,2026-05-01,69236.00,69236.00,1635.20,5000000,
LX-4471902,2026-06-01,67584.00,67584.00,1652.00,5000000,
LX-4471902,2026-07-01,65915.20,65915.20,1668.80,5000000,
LX-4471902,2026-08-01,126229.60,126229.60,1685.60,5000000,2026-07-21
JH-2298317,2025-03-01,19668.75,17418.75,831.25,2500000,
JH-2298317,2025-04-01,18827.53,16577.53,841.23,2500000,
JH-2298317,2025-05-01,17976.33,15726.33,851.20,2500000,
JH-2298317,2025-06-01,17115.15,14865.15,861.18,2500000,
JH-2298317,2025-07-01,16244.00,13994.00,871.15,2500000,
JH-2298317,2025-08-01,56862.88,54612.88,881.13,2500000,
JH-2298317,2025-09-01,55971.78,53721.78,891.10,2500000,
JH-2298317,2025-10-01,55070.70,52820.70,901.08,2500000,
JH-2298317,2025-11-01,54159.65,51909.65,911.05,2500000,
JH-2298317,2025-12-01,53238.63,50988.63,921.03,2500000,
JH-2298317,2026-01-01,52307.63,50057.63,931.00,2500000,
JH-2298317,2026-02-01,51366.65,49116.65,940.98,2500000,
JH-2298317,2026-03-01,50415.70,48165.70,950.95,2500000,
JH-2298317,2026-04-01,49454.78,47204.78,960.93,2500000,
JH-2298317,2026-05-01,48483.88,46233.88,970.90,2500000,
JH-2298317,2026-06-01,47503.00,45253.00,980.88,2500000,
JH-2298317,2026-07-01,46512.15,44262.15,990.85,2500000,
JH-2298317,2026-08-01,87011.33,84761.33,1000.83,2500000,2026-07-21
MM-7710455,2025-03-01,100150.00,100150.00,3850.00,10000000,
MM-7710455,2025-04-01,96253.80,96253.80,3896.20,10000000,
MM-7710455,2025-05-01,92311.40,92311.40,3942.40,10000000,
MM-7710455,2025-06-01,88322.80,88322.80,3988.60,10000000,
MM-7710455,2025-07-01,84288.00,84288.00,4034.80,10000000,
MM-7710455,2025-08-01,228207.00,228207.00,4081.00,10000000,
MM-7710455,2025-09-01,224079.80,224079.80,4127.20,10000000,
MM-7710455,2025-10-01,219906.40,219906.40,4173.40,10000000,
MM-7710455,2025-11-01,215686.80,215686.80,4219.60,10000000,
MM-7710455,2025-12-01,211421.00,211421.00,4265.80,10000000,
MM-7710455,2026-01-01,207109.00,207109.00,4312.00,10000000,
MM-7710455,2026-02-01,202750.80,202750.80,4358.20,10000000,
MM-7710455,2026-03-01,198346.40,198346.40,4404.40,10000000,
MM-7710455,2026-04-01,193895.80,193895.80,4450.60,10000000,
MM-7710455,2026-05-01,189399.00,189399.00,4496.80,10000000,
MM-7710455,2026-06-01,184856.00,184856.00,4543.00,10000000,
MM-7710455,2026-07-01,180266.80,180266.80,4589.20,10000000,
MM-7710455,2026-08-01,323631.40,323631.40,4635.40,10000000,2026-07-21
AX-5560218,2025-03-01,36487.50,36487.50,1312.50,3000000,
AX-5560218,2025-04-01,35159.25,35159.25,1328.25,3000000,
AX-5560218,2025-05-01,33815.25,33815.25,1344.00,3000000,
AX-5560218,2025-06-01,32455.50,32455.50,1359.75,3000000,
AX-5560218,2025-07-01,31080.00,31080.00,1375.50,3000000,
AX-5560218,2025-08-01,84688.75,84688.75,1391.25,3000000,
AX-5560218,2025-09-01,83281.75,83281.75,1407.00,3000000,
AX-5560218,2025-10-01,81859.00,81859.00,1422.75,3000000,
AX-5560218,2025-11-01,80420.50,80420.50,1438.50,3000000,
AX-5560218,2025-12-01,78966.25,78966.25,1454.25,3000000,
AX-5560218,2026-01-01,77496.25,77496.25,1470.00,3000000,
AX-5560218,2026-02-01,76010.50,76010.50,1485.75,3000000,
AX-5560218,2026-03-01,74509.00,74509.00,1501.50,3000000,
AX-5560218,2026-04-01,72991.75,72991.75,1517.25,3000000,
AX-5560218,2026-05-01,71458.75,71458.75,1533.00,3000000,
AX-5560218,2026-06-01,69910.00,69910.00,1548.75,3000000,
AX-5560218,2026-07-01,68345.50,68345.50,1564.50,3000000,
AX-5560218,2026-08-01,121765.25,121765.25,1580.25,3000000,2026-07-21
GW-1029384,2025-03-01,14520.00,14520.00,280.00,1000000,
GW-1029384,2025-04-01,14236.64,14236.64,283.36,1000000,
GW-1029384,2025-05-01,13949.92,13949.92,286.72,1000000,
GW-1029384,2025-06-01,13659.84,13659.84,290.08,1000000,
GW-1029384,2025-07-01,13366.40,13366.40,293.44,1000000,
GW-1029384,2025-08-01,23069.60,23069.60,296.80,1000000,
GW-1029384,2025-09-01,22769.44,22769.44,300.16,1000000,
GW-1029384,2025-10-01,22465.92,22465.92,303.52,1000000,
GW-1029384,2025-11-01,22159.04,22159.04,306.88,1000000,
GW-1029384,2025-12-01,21848.80,21848.80,310.24,1000000,
GW-1029384,2026-01-01,21535.20,21535.20,313.60,1000000,
GW-1029384,2026-02-01,21218.24,21218.24,316.96,1000000,
GW-1029384,2026-03-01,20897.92,20897.92,320.32,1000000,
GW-1029384,2026-04-01,20574.24,20574.24,323.68,1000000,
GW-1029384,2026-05-01,20247.20,20247.20,327.04,1000000,
GW-1029384,2026-06-01,19916.80,19916.80,330.40,1000000,
GW-1029384,2026-07-01,19583.04,19583.04,333.76,1000000,
GW-1029384,2026-08-01,29245.92,29245.92,337.12,1000000,2026-07-21
BH-8834120,2025-03-01,28337.50,23837.50,1662.50,5000000,
BH-8834120,2025-04-01,26655.05,22155.05,1682.45,5000000,
BH-8834120,2025-05-01,24952.65,20452.65,1702.40,5000000,
BH-8834120,2025-06-01,23230.30,18730.30,1722.35,5000000,
BH-8834120,2025-07-01,21488.00,16988.00,1742.30,5000000,
BH-8834120,2025-08-01,115725.75,111225.75,1762.25,5000000,
BH-8834120,2025-09-01,113943.55,109443.55,1782.20,5000000,
BH-8834120,2025-10-01,112141.40,107641.40,1802.15,5000000,
BH-8834120,2025-11-01,110319.30,105819.30,1822.10,5000000,
BH-8834120,2025-12-01,108477.25,103977.25,1842.05,5000000,
BH-8834120,2026-01-01,106615.25,102115.25,1862.00,5000000,
BH-8834120,2026-02-01,104733.30,100233.30,1881.95,5000000,
BH-8834120,2026-03-01,102831.40,98331.40,1901.90,5000000,
BH-8834120,2026-04-01,100909.55,96409.55,1921.85,5000000,
BH-8834120,2026-05-01,98967.75,94467.75,1941.80,5000000,
BH-8834120,2026-06-01,97006.00,92506.00,1961.75,5000000,
BH-8834120,2026-07-01,95024.30,90524.30,1981.70,5000000,
BH-8834120,2026-08-01,189022.65,184522.65,2001.65,5000000,2026-07-21
PL-3390871,2025-03-01,15630.00,15630.00,770.00,2000000,
PL-3390871,2025-04-01,14850.76,14850.76,779.24,2000000,
PL-3390871,2025-05-01,14062.28,14062.28,788.48,2000000,
PL-3390871,2025-06-01,13264.56,13264.56,797.72,2000000,
PL-3390871,2025-07-01,12457.60,12457.60,806.96,2000000,
PL-3390871,2025-08-01,81741.40,81741.40,816.20,2000000,
PL-3390871,2025-09-01,80915.96,80915.96,825.44,2000000,
PL-3390871,2025-10-01,80081.28,80081.28,834.68,2000000,
PL-3390871,2025-11-01,79237.36,79237.36,843.92,2000000,
PL-3390871,2025-12-01,78384.20,78384.20,853.16,2000000,
PL-3390871,2026-01-01,77521.80,77521.80,862.40,2000000,
PL-3390871,2026-02-01,76650.16,76650.16,871.64,2000000,
PL-3390871,2026-03-01,75769.28,75769.28,880.88,2000000,
PL-3390871,2026-04-01,74879.16,74879.16,890.12,2000000,
PL-3390871,2026-05-01,73979.80,73979.80,899.36,2000000,
PL-3390871,2026-06-01,73071.20,73071.20,908.60,2000000,
PL-3390871,2026-07-01,72153.36,72153.36,917.84,2000000,
PL-3390871,2026-08-01,141326.28,141326.28,927.08,2000000,2026-07-21
PR-6612093,2025-03-01,19925.00,19925.00,875.00,2000000,
PR-6612093,2025-04-01,19039.50,19039.50,885.50,2000000,
PR-6612093,2025-05-01,18143.50,18143.50,896.00,2000000,
PR-6612093,2025-06-01,17237.00,17237.00,906.50,2000000,
PR-6612093,2025-07-01,16320.00,16320.00,917.00,2000000,
PR-6612093,2025-08-01,53792.50,53792.50,927.50,2000000,
PR-6612093,2025-09-01,52854.50,52854.50,938.00,2000000,
PR-6612093,2025-10-01,51906.00,51906.00,948.50,2000000,
PR-6612093,2025-11-01,50947.00,50947.00,959.00,2000000,
PR-6612093,2025-12-01,49977.50,49977.50,969.50,2000000,
PR-6612093,2026-01-01,48997.50,48997.50,980.00,2000000,
PR-6612093,2026-02-01,48007.00,48007.00,990.50,2000000,
PR-6612093,2026-03-01,47006.00,47006.00,1001.00,2000000,
PR-6612093,2026-04-01,45994.50,45994.50,1011.50,2000000,
PR-6612093,2026-05-01,44972.50,44972.50,1022.00,2000000,
PR-6612093,2026-06-01,43940.00,43940.00,1032.50,2000000,
PR-6612093,2026-07-01,42897.00,42897.00,1043.00,2000000,
PR-6612093,2026-08-01,80243.50,80243.50,1053.50,2000000,2026-07-21
HL-9982017,2025-03-01,15092.00,15092.00,343.00,1225000,
HL-9982017,2025-04-01,14744.88,14744.88,347.12,1225000,
HL-9982017,2025-05-01,14393.65,14393.65,351.23,1225000,
HL-9982017,2025-06-01,14038.30,14038.30,355.35,1225000,
HL-9982017,2025-07-01,13678.84,13678.84,359.46,1225000,
HL-9982017,2025-08-01,27235.26,27235.26,363.58,1225000,
HL-9982017,2025-09-01,26867.56,26867.56,367.70,1225000,
HL-9982017,2025-10-01,26495.75,26495.75,371.81,1225000,
HL-9982017,2025-11-01,26119.82,26119.82,375.93,1225000,
HL-9982017,2025-12-01,25739.78,25739.78,380.04,1225000,
HL-9982017,2026-01-01,25355.62,25355.62,384.16,1225000,
HL-9982017,2026-02-01,24967.34,24967.34,388.28,1225000,
HL-9982017,2026-03-01,24574.95,24574.95,392.39,1225000,
HL-9982017,2026-04-01,24178.44,24178.44,396.51,1225000,
HL-9982017,2026-05-01,23777.82,23777.82,400.62,1225000,
HL-9982017,2026-06-01,23373.08,23373.08,404.74,1225000,
HL-9982017,2026-07-01,22964.22,22964.22,408.86,1225000,
HL-9982017,2026-08-01,36471.25,36471.25,412.97,1225000,2026-07-21
CB-4408822,2025-03-01,10850.63,10175.63,249.38,750000,
CB-4408822,2025-04-01,10598.26,9923.26,252.37,750000,
CB-4408822,2025-05-01,10342.90,9667.90,255.36,750000,
CB-4408822,2025-06-01,10084.54,9409.54,258.35,750000,
CB-4408822,2025-07-01,9823.20,9148.20,261.35,750000,
CB-4408822,2025-08-01,30958.86,30283.86,264.34,750000,
CB-4408822,2025-09-01,30691.53,30016.53,267.33,750000,
CB-4408822,2025-10-01,30421.21,29746.21,270.32,750000,
CB-4408822,2025-11-01,30147.90,29472.90,273.32,750000,
CB-4408822,2025-12-01,29871.59,29196.59,276.31,750000,
CB-4408822,2026-01-01,29592.29,28917.29,279.30,750000,
CB-4408822,2026-02-01,29310.00,28635.00,282.29,750000,
CB-4408822,2026-03-01,29024.71,28349.71,285.29,750000,
CB-4408822,2026-04-01,28736.43,28061.43,288.28,750000,
CB-4408822,2026-05-01,28445.16,27770.16,291.27,750000,
CB-4408822,2026-06-01,28150.90,27475.90,294.26,750000,
CB-4408822,2026-07-01,27853.65,27178.65,297.25,750000,
