Policy Number,Carrier Name,Transaction Date,Transaction Type,Amount,Remarks
LF-3392014,"Lincoln Financial",06/22/2019,Acquisition Cost,940000,Policy purchase
LF-3392014,"Lincoln Financial",06/22/2019,Fee,18800,Closing and escrow costs
LF-3392014,"Lincoln Financial",06/22/2020,Premium Payment,88000,Annual premium
LF-3392014,"Lincoln Financial",06/15/2020,Servicing,950,Annual servicing and tracking
LF-3392014,"Lincoln Financial",06/22/2021,Premium Payment,88000,Annual premium
LF-3392014,"Lincoln Financial",06/15/2021,Servicing,950,Annual servicing and tracking
LF-3392014,"Lincoln Financial",06/22/2022,Premium Payment,88000,Annual premium
LF-3392014,"Lincoln Financial",06/15/2022,Servicing,950,Annual servicing and tracking
LF-3392014,"Lincoln Financial",06/22/2023,Premium Payment,88000,Annual premium
LF-3392014,"Lincoln Financial",06/15/2023,Servicing,950,Annual servicing and tracking
LF-3392014,"Lincoln Financial",06/22/2024,Premium Payment,88000,Annual premium
LF-3392014,"Lincoln Financial",06/15/2024,Servicing,950,Annual servicing and tracking
LF-3392014,"Lincoln Financial",06/22/2025,Premium Payment,88000,Annual premium
LF-3392014,"Lincoln Financial",06/15/2025,Servicing,950,Annual servicing and tracking
LF-3392014,"Lincoln Financial",06/22/2026,Premium Payment,88000,Annual premium
LF-3392014,"Lincoln Financial",06/15/2026,Servicing,950,Annual servicing and tracking
JH-7741208,"John Hancock",11/14/2018,Acquisition Cost,1480000,Policy purchase
JH-7741208,"John Hancock",11/14/2018,Fee,29600,Closing and escrow costs
JH-7741208,"John Hancock",11/14/2019,Premium Payment,142000,Annual premium
JH-7741208,"John Hancock",11/15/2019,Servicing,950,Annual servicing and tracking
JH-7741208,"John Hancock",11/14/2020,Premium Payment,142000,Annual premium
JH-7741208,"John Hancock",11/15/2020,Servicing,950,Annual servicing and tracking
JH-7741208,"John Hancock",11/14/2021,Premium Payment,142000,Annual premium
JH-7741208,"John Hancock",11/15/2021,Servicing,950,Annual servicing and tracking
JH-7741208,"John Hancock",11/14/2022,Premium Payment,142000,Annual premium
JH-7741208,"John Hancock",11/15/2022,Servicing,950,Annual servicing and tracking
JH-7741208,"John Hancock",11/14/2023,Premium Payment,142000,Annual premium
JH-7741208,"John Hancock",11/15/2023,Servicing,950,Annual servicing and tracking
JH-7741208,"John Hancock",11/14/2024,Premium Payment,142000,Annual premium
JH-7741208,"John Hancock",11/15/2024,Servicing,950,Annual servicing and tracking
JH-7741208,"John Hancock",11/14/2025,Premium Payment,142000,Annual premium
JH-7741208,"John Hancock",11/15/2025,Servicing,950,Annual servicing and tracking
JH-7741208,"John Hancock",11/15/2026,Servicing,950,Annual servicing and tracking
PL-5580933,"Pacific Life",03/09/2021,Acquisition Cost,512000,Policy purchase
PL-5580933,"Pacific Life",03/09/2021,Fee,10240,Closing and escrow costs
PL-5580933,"Pacific Life",03/09/2022,Premium Payment,31500,Semi-Annual premium
PL-5580933,"Pacific Life",09/09/2022,Premium Payment,31500,Semi-Annual premium
PL-5580933,"Pacific Life",03/15/2022,Servicing,950,Annual servicing and tracking
PL-5580933,"Pacific Life",03/09/2023,Premium Payment,31500,Semi-Annual premium
PL-5580933,"Pacific Life",09/09/2023,Premium Payment,31500,Semi-Annual premium
PL-5580933,"Pacific Life",03/15/2023,Servicing,950,Annual servicing and tracking
PL-5580933,"Pacific Life",03/09/2024,Premium Payment,31500,Semi-Annual premium
PL-5580933,"Pacific Life",09/09/2024,Premium Payment,31500,Semi-Annual premium
PL-5580933,"Pacific Life",03/15/2024,Servicing,950,Annual servicing and tracking
PL-5580933,"Pacific Life",03/09/2025,Premium Payment,31500,Semi-Annual premium
PL-5580933,"Pacific Life",09/09/2025,Premium Payment,31500,Semi-Annual premium
PL-5580933,"Pacific Life",03/15/2025,Servicing,950,Annual servicing and tracking
PL-5580933,"Pacific Life",03/09/2026,Premium Payment,31500,Semi-Annual premium
PL-5580933,"Pacific Life",03/15/2026,Servicing,950,Annual servicing and tracking
PR-2216745,"Prudential",08/30/2016,Acquisition Cost,605000,Policy purchase
PR-2216745,"Prudential",08/30/2016,Fee,12100,Closing and escrow costs
PR-2216745,"Prudential",08/30/2017,Premium Payment,47000,Annual premium
PR-2216745,"Prudential",08/15/2017,Servicing,950,Annual servicing and tracking
PR-2216745,"Prudential",08/30/2018,Premium Payment,47000,Annual premium
PR-2216745,"Prudential",08/15/2018,Servicing,950,Annual servicing and tracking
PR-2216745,"Prudential",08/30/2019,Premium Payment,47000,Annual premium
PR-2216745,"Prudential",08/15/2019,Servicing,950,Annual servicing and tracking
PR-2216745,"Prudential",08/30/2020,Premium Payment,47000,Annual premium
PR-2216745,"Prudential",08/15/2020,Servicing,950,Annual servicing and tracking
PR-2216745,"Prudential",08/30/2021,Premium Payment,47000,Annual premium
PR-2216745,"Prudential",08/15/2021,Servicing,950,Annual servicing and tracking
PR-2216745,"Prudential",08/30/2022,Premium Payment,47000,Annual premium
PR-2216745,"Prudential",08/15/2022,Servicing,950,Annual servicing and tracking
PR-2216745,"Prudential",08/30/2023,Premium Payment,47000,Annual premium
PR-2216745,"Prudential",08/15/2023,Servicing,950,Annual servicing and tracking
PR-2216745,"Prudential",08/30/2024,Premium Payment,47000,Annual premium
PR-2216745,"Prudential",08/15/2024,Servicing,950,Annual servicing and tracking
PR-2216745,"Prudential",08/30/2025,Premium Payment,47000,Annual premium
PR-2216745,"Prudential",08/15/2025,Servicing,950,Annual servicing and tracking
PR-2216745,"Prudential",08/30/2026,Premium Payment,47000,Annual premium
PR-2216745,"Prudential",08/15/2026,Servicing,950,Annual servicing and tracking
BH-9903471,"Brighthouse",01/28/2022,Acquisition Cost,268000,Policy purchase
BH-9903471,"Brighthouse",01/28/2022,Fee,5360,Closing and escrow costs
BH-9903471,"Brighthouse",01/28/2023,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",02/28/2023,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",03/28/2023,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",04/28/2023,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",05/28/2023,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",06/28/2023,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",07/28/2023,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",08/28/2023,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",09/28/2023,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",10/28/2023,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",11/28/2023,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",12/28/2023,Premium Payment,3100,Monthly premium
BH-9903471,"Brighthouse",01/15/2023,Servicing,950,Annual servicing and tracking
BH-9903471,"Brighthouse",01/28/2024,Premium Payment,3100,Monthly premium
